date,land_or_jeju,average_price,lowest_price,highest_price,success_amounts,sucess_deals,transaction_money,sell_amount,sell_deals,buy_amount,buy_deals,,,,,,,,,,
2017-10-26,total,128000,,,128942,612,16521676900,351471,1848,147323,43,,,,,,,,,,
2017-10-31,land,128237,126000,129000,102211,839,,260403,1947,,,,,,,,,,,,
2017-10-31,jeju,116429,115500,117500,935,19,,9000,58,,,,,,,,,,,,
2017-10-31,total,128000,,,103146,858,13216175300,269403,2005,135402,139,,,,,,,,,,
2017-11-2,land,127810,126500,128000,18866,244,,189893,1398,,,,,,,,,,,,
2017-11-2,jeju,114594,108800,115800,389,6,,8434,40,,,,,,,,,,,,
2017-11-2,total,127300,,,19225,250,2455845700,198327,1438,35401,62,,,,,,,,,,
2017-11-7,land,128083,126000,128600,39314,423,,231976,1702,,,,,,,,,,,,
2017-11-7,jeju,118207,114700,119500,4599,13,,16265,48,,,,,,,,,,,,
2017-11-7,total,127100,,,43913,436,5579131300,248241,1750,54007,50,,,,,,,,,,
2017-11-9,land,127611,126000,128000,13004,216,,229466,1418,,,,,,,,,,,,
2017-11-9,jeju,113595,107800,116800,501,4,,11267,36,,,,,,,,,,,,
2017-11-9,total,127000,,,13505,220,1716371400,240733,1454,19011,38,,,,,,,,,,
2017-11-14,land,125584,125000,127000,6687,93,,262368,1415,,,,,,,,,,,,
2017-11-14,jeju,,,,,,,8379,35,,,,,,,,,,,,
2017-11-14,total,125000,,,6687,93,839782600,270747,1450,7183,17,,,,,,,,,,
2017-11-16,land,126411,125100,127000,46328,133,,373516,1598,,,,,,,,,,,,
2017-11-16,jeju,,,,0,0,,11212,32,,,,,,,,,,,,
2017-11-16,total,125900,,,46328,133,5856370600,384728,1630,54173,48,,,,,,,,,,
2017-11-21,land,125644,124000,126000,27844,130,,380687,1697,,,,,,,,,,,,
2017-11-21,jeju,108168,106000,112800,1630,6,,11373,45,,,,,,,,,,,,
2017-11-21,total,124000,88200,163600,29474,136,3674765100,392060,1742,30339,13,,,,,,,,,,
2017-11-23,land,122982,115000,124000,6508,77,,297903,1377,,,,,,,,,,,,
2017-11-23,jeju,,,,0,0,,49482,36,,,,,,,,,,,,
2017-11-23,total,116500,86800,161200,6508,77,800370300,347385,1413,8120,10,,,,,,,,,,
2017-11-28,land,102214,99000,114000,96,9946,,304506,1477,,,,,,,,,,,,
2017-11-28,jeju,95971,79800,99800,8,3105,,52431,35,,,,,,,,,,,,
2017-11-28,total,99000,151400,81600,104,13051,593093200,356937,1512,18706,34,,,,,,,,,,
2017-11-30,land,100692,96000,101000,61,5517,,139242,979,,,,,,,,,,,,
2017-11-30,jeju,87199,86700,89000,6,304,,20798,25,,,,,,,,,,,,
2017-11-30,total,100100,69300,128700,67,5821,1272241400,160040,1004,7595,15,,,,,,,,,,
2017-12-5,land,100189,95100,102000,155,25356,,201671,1253,,,,,,,,,,,,
2017-12-5,jeju,87886,86700,89000,5,1181,,16000,28,,,,,,,,,,,,
2017-12-5,total,100000,70100,130100,160,26537,2644205800,217671,1281,45913,58,,,,,,,,,,
2017-12-7,land,101807,100000,105000,112,9112,,174299,1101,,,,,,,,,,,,
2017-12-7,jeju,90225,86800,93700,14,9739,,21099,32,,,,,,,,,,,,
2017-12-7,total,100100,70000,130000,126,18851,1806664700,195398,1133,39379,21,,,,,,,,,,
2017-12-12,land,101143,100000,104000,101,15439,,241822,1281,,,,,,,,,,,,
2017-12-12,jeju,87695,86700,91300,7,3686,,17730,34,,,,,,,,,,,,
2017-12-12,total,100300,70100,130100,108,19125,1884794500,259552,1315,33012,20,,,,,,,,,,
2017-12-14,land,104464,100000,105100,209,32979,,182528,1204,,,,,,,,,,,,
2017-12-14,jeju,92125,92100,93700,3,64,,1541,17,,,,,,,,,,,,
2017-12-14,total,105100,70300,130300,212,33043,3451036800,184069,1221,63995,78,,,,,,,,,,
2017-12-19,land,106053,105100,108000,135,12133,,216852,1345,,,,,,,,,,,,
2017-12-19,jeju,94010,86800,96100,5,377,,2002,24,,,,,,,,,,,,
2017-12-19,total,105500,73600,136000,140,12510,1322189200,218854,1369,47107,20,,,,,,,,,,
2017-12-21,land,104584,100200,106500,197,12162,,170315,1197,,,,,,,,,,,,
2017-12-21,jeju,93521,91500,93800,5,165,,861,16,,,,,,,,,,,,
2017-12-21,total,106500,73900,137100,202,12327,1287385900,171176,1213,79119,41,,,,,,,,,,
2017-12-26,land,106944,104000,110000,159,17772,,214989,1439,,,,,,,,,,,,
2017-12-26,jeju,93264,92800,93600,2,50,,6051,23,,,,,,,,,,,,
2017-12-26,total,105000,74600,138400,161,17822,1905287000,221040,1462,41086,18,,,,,,,,,,
2017-12-28,land,105040,100000,106000,368,22984,,195761,1684,,,,,,,,,,,,
2017-12-28,jeju,90730,86800,91600,2,552,,6431,32,,,,,,,,,,,,
2017-12-28,total,105000,73500,136500,370,23536,2464333100,202192,1716,86119,52,,,,,,,,,,
2018-01-2,land,101420,100500,101600,78,3351,,144906,1194,,,,,,,,,,,,
2018-01-2,jeju,91448,90400,91600,2,79,,928,19,,,,,,,,,,,,
2018-01-2,total,101600,73500,136500,80,3430,347085600,145834,1213,13639,13,,,,,,,,,,
2018-01-4,land,104970,101000,106000,310,22832,,168865,1526,,,,,,,,,,,,
2018-01-4,jeju,91146,86800,94800,7,380,,5892,35,,,,,,,,,,,,
2018-01-4,total,106000,71200,132000,317,23212,2431316000,174757,1561,87205,76,,,,,,,,,,
2018-01-9,land,105622,102100,107000,300,22886,,198134,1671,,,,,,,,,,,,
2018-01-9,jeju,92773,86800,95300,7,434,,5684,33,,,,,,,,,,,,
2018-01-9,total,105200,74200,137800,307,23320,2457537200,203818,1704,87588,115,,,,,,,,,,
